inspection_id,license_id,application_number,inspection_type,scheduled_date,inspection_result,assigned_team,remarks
0f0c16cf-ae84-45a9-93d7-eb4854eb2c62,8029fb40-16fb-4438-9f3c-72ea8a947c82,BMC-FIR-2026-000002,desk_review,2026-02-28,satisfactory,health_section,Fire compliance referral generated for joint review. Draft saved by desk operator. Ward context: S Ward.
39bea56f-00db-49e8-9505-6550ebbea1ba,4924c3f9-89ef-4139-9477-5af2738e5948,PMC-OCC-2026-000004,joint_inspection,2025-12-01,pending,ward_engineering,Occupancy workflow depends on completion and inspection evidence. Returned or rejected after scrutiny due to deficiency. Ward context: Bhavani Peth.
be6e2ed6-f6eb-4a6d-845a-c38d74d505bc,d11f2c82-66f3-4b46-8aee-2075a992fdd6,BMC-HLT-2026-000006,desk_review,2026-02-07,pending,ward_engineering,Health clearance routed for departmental review. Marked under review by licensing officer. Ward context: F/N Ward.
9fc4aa7c-83a0-4f91-87a1-3ee3edf8e417,e5c6b922-9fbf-4b0e-a2fa-a56bab041f4e,PMC-BPA-2026-000007,joint_inspection,2026-01-24,deficient,health_section,Plan scrutiny linked to plot metadata and geotag. Submitted to ward workflow queue. Ward context: Shivajinagar Ghole Road.
b3285a4b-14d6-4c53-9cb7-88ee49fc5eb4,4cb59cee-e242-4ffb-a38e-e02655b3d4f7,BMC-FIR-2026-000008,desk_review,2025-12-29,satisfactory,license_inspection,Fire compliance referral generated for joint review. Marked under review by licensing officer. Ward context: F/S Ward.
4056539b-cca4-4404-a6e9-b558798d5967,822b66e5-75d7-460c-baa1-8aa22b36a2f9,PMC-TRD-2026-000011,desk_review,2025-12-12,satisfactory,ward_engineering,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: Hadapsar Mundhwa.
6356744e-2e11-4e49-ba88-330d8949500d,8be9577f-540b-459b-a2fe-29c80348a90f,BMC-BPA-2026-000013,joint_inspection,2026-02-15,pending,fire_referral_cell,Plan scrutiny linked to plot metadata and geotag. Submitted to ward workflow queue. Ward context: R/N Ward.
c06c9e3f-dd64-46d9-999b-cd76aad1e825,ebe350e3-2d3d-4ee8-b140-c17d89d95454,PMC-TRD-2026-000015,joint_inspection,2025-11-20,satisfactory,ward_engineering,Trade activity verified against property use and frontage. Marked under review by licensing officer. Ward context: Dhankawadi Sahakarnagar.
5dd87c1d-a64f-47ae-b8ee-1ecb7e18f677,8a351d06-eff1-4243-8bc2-1caa68f17910,PMC-TRD-2026-000017,desk_review,2026-04-03,satisfactory,license_inspection,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: Kothrud Bavdhan.
da333da7-2943-4098-b0e6-c55461534d92,c366e66e-4e54-4769-b403-1c1479041497,BMC-BPA-2026-000018,desk_review,2025-11-27,conditional,license_inspection,Plan scrutiny linked to plot metadata and geotag. Approved after review and document check. Ward context: F/S Ward.
f6449215-6158-49e2-a22f-3644f8fb8d58,3fa2eac7-94eb-43ff-977d-a63f6c7ed74a,PMC-OCC-2026-000019,site_visit,2025-12-15,satisfactory,health_section,Occupancy workflow depends on completion and inspection evidence. Submitted to ward workflow queue. Ward context: Warje Karvenagar.
d0309fbf-03ad-4fa7-839e-4419d21eea4c,da283bbb-7131-4089-b13d-5d39c028bae6,BMC-SBD-2026-000024,site_visit,2025-11-24,satisfactory,fire_referral_cell,Signage dimensions and road setback to be verified. Marked under review by licensing officer. Ward context: G/N Ward.
dd322b64-2a7c-488d-ac13-fd61834e634c,924e612d-cea5-4fa9-8b61-60475e63c1ce,BMC-OCC-2026-000025,desk_review,2025-12-14,conditional,fire_referral_cell,Occupancy workflow depends on completion and inspection evidence. Draft saved by desk operator. Ward context: B Ward.
302456ec-eb2f-4e4d-b03e-6e3493a56d5c,ee4af8f2-891e-4500-a912-a38cd19c98d2,BMC-TRD-2026-000027,joint_inspection,2026-01-29,satisfactory,fire_referral_cell,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: S Ward.
a86edf63-8b39-4786-ab77-b2211c973e7d,ce09d787-546e-456a-81f2-371d32ed58b4,PMC-STO-2026-000028,joint_inspection,2026-03-08,satisfactory,license_inspection,Storage and safety conditions to be confirmed on site. Approved after review and document check. Ward context: Bibwewadi.
6a995f4c-50cb-4854-ad29-83c034204146,97e3dff5-7b21-4224-a12e-a30d5a58e248,PMC-BPA-2026-000030,desk_review,2025-12-15,pending,license_inspection,Plan scrutiny linked to plot metadata and geotag. Marked under review by licensing officer. Ward context: Kasba Vishrambagwada.
e8eddd57-9411-477c-ad7b-429c4915bbab,26fe7def-5869-44a6-97ca-5097c8758dc5,BMC-SBD-2026-000034,site_visit,2026-02-07,pending,license_inspection,Signage dimensions and road setback to be verified. Draft saved by desk operator. Ward context: R/S Ward.
499f9bc8-b203-4ff9-9824-ca766de78b8f,227519aa-1c4a-44ee-a302-41c92cfaa105,PMC-TRD-2026-000041,joint_inspection,2026-02-06,satisfactory,fire_referral_cell,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: Kasba Vishrambagwada.
a7a4781a-1dfc-4975-9a65-2e70e8b886b2,80600fb0-c861-4904-ba8a-d669ff747fb6,BMC-HLT-2026-000043,site_visit,2026-03-04,deficient,fire_referral_cell,Health clearance routed for departmental review. Draft saved by desk operator. Ward context: S Ward.
c28c78a8-b0d4-499a-abd7-ee9f3615e549,4ae15229-0c51-4988-9d1b-9ea8a38b876b,BMC-BPA-2026-000044,desk_review,2026-03-26,pending,ward_engineering,Plan scrutiny linked to plot metadata and geotag. Marked under review by licensing officer. Ward context: R/S Ward.
4a7e2cb7-62f4-4401-b11e-3e3bb9bbf021,a26ac5d8-8d15-4a40-9734-cffc3a0ad555,BMC-FIR-2026-000047,joint_inspection,2025-12-18,deficient,health_section,Fire compliance referral generated for joint review. Marked under review by licensing officer. Ward context: R/S Ward.
