inspection_id,license_id,application_number,inspection_type,scheduled_date,inspection_result,assigned_team,remarks
0fc8147c-8086-49e7-9202-1610220d7ed7,3b0d8f66-ad2b-4fbe-a319-984cdf15b6ae,PMC-FIR-2026-000001,joint_inspection,2025-12-24,deficient,health_section,Fire compliance referral generated for joint review. Marked under review by licensing officer. Ward context: Kasba Vishrambagwada.
e6784010-6b71-4dc9-814c-1ba3b8ab2fcd,8a370147-2719-46a0-9061-e48eb8c19c0e,BMC-TRD-2026-000002,desk_review,2026-02-12,satisfactory,fire_referral_cell,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: K/E Ward.
44175c42-8cad-4dc7-b55d-dbb2af44ca9f,9b614e4d-b2e7-4a64-b310-d19bb67e2830,PMC-TRD-2026-000003,joint_inspection,2026-03-16,satisfactory,health_section,Trade activity verified against property use and frontage. Submitted to ward workflow queue. Ward context: Shivajinagar Ghole Road.
51beaf11-d5f6-4de3-aa8d-97169632fd16,dcf4030a-8dbd-43b0-80dd-5adb276a8d58,BMC-FIR-2026-000004,desk_review,2025-12-24,pending,ward_engineering,Fire compliance referral generated for joint review. Draft saved by desk operator. Ward context: K/E Ward.
d538d9ed-9a42-4619-a2be-24169a3a9e69,5ecab31e-af98-4d34-8bd6-ca6a0ba7ffff,BMC-EST-2026-000010,desk_review,2026-04-03,satisfactory,fire_referral_cell,Estate and title review required before disposal. Submitted to ward workflow queue. Ward context: M/W Ward.
cc7c7084-f240-4d25-a978-8c3dca066af2,c4a081da-8d45-47a0-8bfb-cac219fe0cec,BMC-OCC-2026-000015,desk_review,2026-03-23,satisfactory,license_inspection,Occupancy workflow depends on completion and inspection evidence. Approved after review and document check. Ward context: K/W Ward.
c4fda13d-4a55-431f-b05d-187cf94018d4,20bb1d9e-eacb-4cc5-9f41-160193a435d5,BMC-OCC-2026-000017,desk_review,2026-02-27,pending,license_inspection,Occupancy workflow depends on completion and inspection evidence. Returned or rejected after scrutiny due to deficiency. Ward context: A Ward.
cce91ba3-fa11-4f68-911e-060250eb153a,e5ff2813-dd23-4dff-9f78-ae95702791dd,PMC-OCC-2026-000019,joint_inspection,2026-02-08,pending,ward_engineering,Occupancy workflow depends on completion and inspection evidence. Approved after review and document check. Ward context: Kondhwa Yewalewadi.
44701fc3-ccfd-431e-a904-a35c8f5e29e1,a3ea02e7-9232-4457-8c4c-5795317c5fff,PMC-TRD-2026-000021,desk_review,2025-12-25,pending,fire_referral_cell,Trade activity verified against property use and frontage. Approved after review and document check. Ward context: Aundh Baner.
fbef327d-1f34-4b58-87b5-56039dbdb151,e0a6ec18-d6ba-4d86-a0f6-85febd1ce72f,PMC-TRD-2026-000022,joint_inspection,2025-11-27,satisfactory,fire_referral_cell,Trade activity verified against property use and frontage. Submitted to ward workflow queue. Ward context: Yerwada Kalas Dhanori.
3615edae-cac7-45f4-a49f-f5ef28e77475,7cdc186e-11c4-4409-ad29-cc67ec034726,BMC-SBD-2026-000023,site_visit,2025-11-03,satisfactory,health_section,Signage dimensions and road setback to be verified. Approved after review and document check. Ward context: K/E Ward.
f8dcdbe5-a0d5-410b-a83c-ab1b9d76cd99,0b2e1a3f-fb97-428c-bc70-ce5f64885b59,BMC-TRD-2026-000024,joint_inspection,2025-12-19,deficient,fire_referral_cell,Trade activity verified against property use and frontage. Submitted to ward workflow queue. Ward context: T Ward.
4baea815-24b9-4d0c-98fb-ed2667b4fa91,a259194e-547e-4f1e-be68-1ec606e4b8e4,BMC-STO-2026-000026,site_visit,2026-01-20,satisfactory,health_section,Storage and safety conditions to be confirmed on site. Submitted to ward workflow queue. Ward context: R/N Ward.
1ee8636a-a35a-4b5d-ad2b-e47dff28e56b,c41bae06-2fae-4786-b6e2-226478f66ce2,PMC-OCC-2026-000028,joint_inspection,2026-03-10,satisfactory,ward_engineering,Occupancy workflow depends on completion and inspection evidence. Approved after review and document check. Ward context: Bibwewadi.
11076b91-0ebc-4a0b-9416-ff0254b4640d,5f06dc3f-5296-4c84-9e6c-b0364f61c4a9,BMC-STO-2026-000030,site_visit,2026-01-31,conditional,health_section,Storage and safety conditions to be confirmed on site. Submitted to ward workflow queue. Ward context: P/S Ward.
62267339-e084-42e1-8a2f-f8009240d3fa,8d347dae-b69f-4991-930e-6caf28a6c902,BMC-HLT-2026-000032,site_visit,2026-03-20,satisfactory,license_inspection,Health clearance routed for departmental review. Approved after review and document check. Ward context: C Ward.
bf93c4db-cc76-4007-8cf6-89aff42f217c,28ac8a10-0902-4138-ab8c-904de344cb95,PMC-TRD-2026-000033,joint_inspection,2026-03-06,conditional,fire_referral_cell,Trade activity verified against property use and frontage. Submitted to ward workflow queue. Ward context: Kothrud Bavdhan.
2373ef30-677c-4d8e-8d97-3887903ac268,2997ec42-7998-422b-8888-39a34204443f,PMC-STO-2026-000037,site_visit,2026-01-28,satisfactory,license_inspection,Storage and safety conditions to be confirmed on site. Approved after review and document check. Ward context: Bhavani Peth.
dd7c89d5-118c-413f-bdc3-aed16d7c31b5,7153948a-6b32-4538-83a8-63a4ecb72c4d,BMC-TRD-2026-000044,site_visit,2026-03-02,conditional,fire_referral_cell,Trade activity verified against property use and frontage. Draft saved by desk operator. Ward context: C Ward.
239c6675-a8ee-4e14-acb3-f5d2fa37eae7,1252ead9-5354-4c86-b9d4-1c4678653e53,PMC-TRD-2026-000045,joint_inspection,2025-11-09,satisfactory,ward_engineering,Trade activity verified against property use and frontage. Submitted to ward workflow queue. Ward context: Hadapsar Mundhwa.
b1e08758-5947-404d-9667-84f9f242fd37,e3d1dbb7-7b09-46e3-92b7-121ee518931f,PMC-TRD-2026-000046,desk_review,2026-03-01,pending,license_inspection,Trade activity verified against property use and frontage. Draft saved by desk operator. Ward context: Dhole Patil.
dcc63a61-592a-4222-bd05-d853ab64453b,5dffff92-5b31-4c07-a825-315f7e16d7bd,PMC-FIR-2026-000047,site_visit,2026-01-10,satisfactory,license_inspection,Fire compliance referral generated for joint review. Approved after review and document check. Ward context: Dhankawadi Sahakarnagar.
b287228e-9bf1-4b55-8ace-3f35cc48c568,aa9ed55d-3375-4497-a336-7c82dc172992,BMC-SBD-2026-000048,site_visit,2025-11-09,deficient,fire_referral_cell,Signage dimensions and road setback to be verified. Returned or rejected after scrutiny due to deficiency. Ward context: S Ward.
3ff9c6fe-34aa-4356-a069-c749266ace70,ee2438c9-5659-4fa6-b67e-f48ea833da69,PMC-OCC-2026-000049,site_visit,2026-01-13,satisfactory,ward_engineering,Occupancy workflow depends on completion and inspection evidence. Draft saved by desk operator. Ward context: Shivajinagar Ghole Road.
1e3ddc0e-edfd-4bd6-accb-efbf86f58db7,b5fa9341-bbc3-40ca-b257-f30a08946788,PMC-TRD-2026-000051,desk_review,2026-01-13,satisfactory,fire_referral_cell,Trade activity verified against property use and frontage. Draft saved by desk operator. Ward context: Kothrud Bavdhan.
7e232bfe-6d36-4139-9f42-95ba5970af53,4530b94b-c9e8-416f-827b-cddb3bf1f216,PMC-SBD-2026-000052,desk_review,2026-03-29,pending,health_section,Signage dimensions and road setback to be verified. Approved after review and document check. Ward context: Dhole Patil.
168e9a09-e60d-4b0f-bcbf-6e4105e4ef85,5c71a9cb-1d96-498e-85f0-328c264ec918,BMC-BPA-2026-000053,site_visit,2025-11-30,deficient,license_inspection,Plan scrutiny linked to plot metadata and geotag. Marked under review by licensing officer. Ward context: K/W Ward.
